edit_history_tweet_ids,lang,possibly_sensitive,text,created_at,reply_settings,author_id,conversation_id,id,category,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,entities.urls,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,attachments.media_keys,context_annotations,referenced_tweets,in_reply_to_user_id,entities.annotations,entities.mentions,entities.hashtags,attachments.media_source_tweet_id,attachments.poll_ids
['1874086747178414133'],pl,False,"Rok 2024 kończę w znacznie lepszym nastroju niż poprzedni. Byłem wtedy świeżo po przegranych wyborach, sondaże nam szorowały po dnie, mieliśmy przed sobą bardzo trudne dla Konfederacji wybory samorządowe i wywołujący sporo napięć wewnętrznych proces wyboru kandydata na… https://t.co/QXY94tKfhz",2024-12-31T13:34:34.000Z,everyone,3242182113,1874086747178414133,1874086747178414133,Original,5,True,2024-12-31 14:34:34+00:00,"[{'start': 271, 'end': 294, 'url': 'https://t.co/QXY94tKfhz', 'expanded_url': 'https://x.com/i/web/status/1874086747178414133', 'display_url': 'x.com/i/web/status/1…'}]",113,203,2878,8,37,127191,,,,,,,,,
['1873400302390661256'],pl,False,"Już myślałem, że nie zdążę przed zmrokiem, ale dotarłem do schroniska niemal równo z zachodem słońca. Jutro przez Halę Miziową na Pilsko. https://t.co/gn9gXlSoeA",2024-12-29T16:06:52.000Z,everyone,3242182113,1873400302390661256,1873400302390661256,Original,5,True,2024-12-29 17:06:52+00:00,"[{'start': 138, 'end': 161, 'url': 'https://t.co/gn9gXlSoeA', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1873400302390661256/photo/1', 'display_url': 'pic.x.com/gn9gXlSoeA', 'media_key': '3_1873399886533545984'}, {'start': 138, 'end': 161, 'url': 'https://t.co/gn9gXlSoeA', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1873400302390661256/photo/1', 'display_url': 'pic.x.com/gn9gXlSoeA', 'media_key': '3_1873400271121883136'}, {'start': 138, 'end': 161, 'url': 'https://t.co/gn9gXlSoeA', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1873400302390661256/photo/1', 'display_url': 'pic.x.com/gn9gXlSoeA', 'media_key': '3_1873399886600617984'}, {'start': 138, 'end': 161, 'url': 'https://t.co/gn9gXlSoeA', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1873400302390661256/photo/1', 'display_url': 'pic.x.com/gn9gXlSoeA', 'media_key': '3_1873399886516797440'}]",83,327,4246,12,50,187750,"['3_1873399886533545984', '3_1873400271121883136', '3_1873399886600617984', '3_1873399886516797440']",,,,,,,,
['1872242350183116873'],pl,False,"Nie idzie ostatnio źle ten YouTube :)

Prawie 25 mln wyświetleń w 28 dni :) https://t.co/BrMxQ9W1lh",2024-12-26T11:25:35.000Z,everyone,3242182113,1872242350183116873,1872242350183116873,Original,5,True,2024-12-26 12:25:35+00:00,"[{'start': 76, 'end': 99, 'url': 'https://t.co/BrMxQ9W1lh', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1872242350183116873/photo/1', 'display_url': 'pic.x.com/BrMxQ9W1lh', 'media_key': '3_1872242343618678784'}]",117,248,6058,4,55,288929,['3_1872242343618678784'],"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}]",,,,,,,
['1871632084831547900'],pl,False,"Jeśli zjem coś więcej, przestanę mieścić się w kadrze :)

Wesołych Świąt Bożego Narodzenia życzy rodzina Mentzenów :) https://t.co/wKvSDV0u8Z",2024-12-24T19:00:36.000Z,everyone,3242182113,1871632084831547900,1871632084831547900,Original,5,True,2024-12-24 20:00:36+00:00,"[{'start': 118, 'end': 141, 'url': 'https://t.co/wKvSDV0u8Z', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1871632084831547900/photo/1', 'display_url': 'pic.x.com/wKvSDV0u8Z', 'media_key': '3_1871632074865610752'}]",219,469,14997,16,191,495296,['3_1871632074865610752'],,,,,,,,
['1871524054915764451'],pl,False,"Życzę wszystkim zdrowych, spokojnych, radosnych, rodzinnych i błogosławionych Świąt Bożego Narodzenia! https://t.co/6xx8bEX2G6",2024-12-24T11:51:20.000Z,everyone,3242182113,1871524054915764451,1871524054915764451,Original,5,True,2024-12-24 12:51:20+00:00,"[{'start': 103, 'end': 126, 'url': 'https://t.co/6xx8bEX2G6', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1871524054915764451/video/1', 'display_url': 'pic.x.com/6xx8bEX2G6', 'media_key': '13_1871523977551577088'}]",130,121,3616,3,33,67764,['13_1871523977551577088'],,,,,,,,
['1871102493205148121'],pl,False,Dzień z Mentzenem ma już milion wyświetleń! Jeśli ktoś jeszcze nie widział - polecam! https://t.co/Mz5o9b1bdN,2024-12-23T07:56:12.000Z,everyone,3242182113,1871102493205148121,1871102493205148121,Original,5,True,2024-12-23 08:56:12+00:00,"[{'start': 86, 'end': 109, 'url': 'https://t.co/Mz5o9b1bdN', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1871102493205148121/photo/1', 'display_url': 'pic.x.com/Mz5o9b1bdN', 'media_key': '3_1871102326045331457'}]",118,170,4643,1,25,142579,['3_1871102326045331457'],,,,,,,,
['1870511619064926698'],en,False,Link: https://t.co/4bezR2AVqe,2024-12-21T16:48:17.000Z,everyone,3242182113,1870511567063953745,1870511619064926698,Reply,5,False,2024-12-21 17:48:17+00:00,"[{'start': 6, 'end': 29, 'url': 'https://t.co/4bezR2AVqe', 'expanded_url': 'https://wspieram.mentzen2025.pl', 'display_url': 'wspieram.mentzen2025.pl', 'status': 200, 'title': 'Wspieram - Mentzen 2025', 'unwound_url': 'https://wspieram.mentzen2025.pl'}]",10,20,230,0,3,27474,,,"[{'type': 'replied_to', 'id': '1870511567063953745'}]",3242182113,,,,,
['1870511567063953745'],pl,False,"Sondaże dają mi silną trzecią pozycję, ale nie startuję w tych wyborach po to, żeby zrobić w nich dobry wynik, tylko żeby je wygrać. Muszę wygrać te wybory, żebyśmy mogli żyć wreszcie w silnej, dumnej, bogatej i bezpiecznej Polsce!

Ogłaszałem już trasę na styczeń, ale… https://t.co/bqB6CJGe1C https://t.co/QdqK4W6Irj",2024-12-21T16:48:04.000Z,everyone,3242182113,1870511567063953745,1870511567063953745,Original,5,False,2024-12-21 17:48:04+00:00,"[{'start': 271, 'end': 294, 'url': 'https://t.co/bqB6CJGe1C', 'expanded_url': 'https://x.com/i/web/status/1870511567063953745', 'display_url': 'x.com/i/web/status/1…'}, {'start': 295, 'end': 318, 'url': 'https://t.co/QdqK4W6Irj', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1870511567063953745/photo/1', 'display_url': 'pic.x.com/QdqK4W6Irj', 'media_key': '3_1870511358921322496'}]",245,428,4033,18,43,278314,['3_1870511358921322496'],,,,,,,,
['1870454613536907587'],pl,False,NIE dla muzułmańskiej imigracji w Polsce! https://t.co/FsD36EqOqd,2024-12-21T13:01:45.000Z,everyone,3242182113,1870454613536907587,1870454613536907587,Original,5,True,2024-12-21 14:01:45+00:00,"[{'start': 42, 'end': 65, 'url': 'https://t.co/FsD36EqOqd', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1870454613536907587/photo/1', 'display_url': 'pic.x.com/FsD36EqOqd', 'media_key': '3_1870454607941668864'}]",701,575,11690,30,89,266399,['3_1870454607941668864'],,,,,,,,
['1870422564293517352'],pl,False,"Nagrałem ten materiał w środę, na dwa dni przed tragedią na jarmarku w Magdeburgu. Dzisiaj jest niestety jeszcze bardziej aktualny. 

Nie możemy zgodzić się na migracje z państw muzułmańskich, nie możemy dopuścić do tego, żeby w Polsce było tak niebezpiecznie jak w Niemczech! https://t.co/OWYSXUk0fd",2024-12-21T10:54:24.000Z,everyone,3242182113,1870422564293517352,1870422564293517352,Original,5,True,2024-12-21 11:54:24+00:00,"[{'start': 277, 'end': 300, 'url': 'https://t.co/OWYSXUk0fd', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1870422564293517352/video/1', 'display_url': 'pic.x.com/OWYSXUk0fd', 'media_key': '13_1870422342528061440'}]",479,283,7149,17,217,374612,['13_1870422342528061440'],,,,,,,,
