id,text_clean
1846277256509116672," Niezrealizowanie większości ze ""100 konkretów"", zamiast transparentności ""sklep meblarski"" przy obsadzaniu SSP, zamiast taniego państwa rekordowy deficyt i najliczniejszy rząd w historii, a zamiast praworządności państwo policyjne. Oto obraz Waszych rządów rok po wyborach."
1846222583898784000,Rok po wyborach trzeba powiedzieć jedno - nie na takie państwo Donald Tusk umawiał się z wyborcami! 
1846161400328028160," ❌ Mamy rok po wyborach, a Polska pogrąża się w kryzysie i anarchii. 

Z obiecanych 100 konkretów rząd Donalda Tuska zrealizował tylko około 30. Nie zostały zrealizowane np. takie postulaty jak: podwyżka kwoty wolnej od podatku, wprowadzenie systemy wizyt lekarskich przez SMS i…  "
1846091824101769472,"Mija rok od wyborów parlamentarnych. W kampanii wyborczej padło wiele obietnic ze strony rządzących. Co z tego dziś mamy? W uśmiechniętej Polsce mamy chaos w wymiarze sprawiedliwości, zator finansowy w służbie zdrowia i rekordowy deficyt. Rządy Donalda Tuska to katastrofa dla…  "
1846075343188144128,#Idę11  🇵  🇱  
1845888830680834304,"""Demokracja walcząca"" Trzaskowskiego, Tuska ani żadnego innego totalniaka nie powstrzyma największego patriotycznego wydarzenia w Polsce. Jak co roku 11 listopada widzimy się w Warszawie na Marszu Niepodległości!  🇵  🇱  "
1845842892490715392,Samozaoranie level master.  😎  
1845725230272000256,"Polska ma wkrótce uruchomić 49 finansowanych przez UE Centrów Integracji Cudzoziemców, które będą wspierać przybyłych do naszego kraju migrantów. Mają oni otrzymać darmowe kursy językowe, pomoc prawną i usługi adaptacyjne. I to by było na tyle jeśli chodzi o zapowiadaną przez…  "
1845456268162469888,"Unia najlepiej wie, czego potrzebuje nasze rolnictwo  🙃  "
1845366433443684864,Warto posłuchać słów prawdy od byłego więźnia obozu w Auschwitz. 
1845168884153794816,"Ekologiczny Maciej Gdula z Lewicy mówi ""zwężajmy ulice i jeździjmy rowerami"", ale jednocześnie sam jeździ SUV-em  🤡  "
1845104964663902720,"Koniec złudzeń, że Suwerenna Polska jest jakąkolwiek prawicową alternatywą dla PiS-u. Dziś Jarosław Kaczyński dokonał aneksji swoich koalicjantów. W ten sposób podział sceny politycznej, o którym mówiliśmy od dawna, staje się już oczywisty. Polakom daje się wybór niedający…  "
1845069426439213056,I tak wygląda szara rzeczywistość podatnika. 
1845013817014575360,"Pamiętacie ten wpis sprzed roku? Już go nie ma - został usunięty. Tak właśnie Ci ludzie traktują wyborców - jak idiotów, którym można obiecać wszystko w kampanii, a po wyborach udawać, że tych obietnic nie było. "
1844814952462225920, To coś słabo wam idzie. 
1844763144062677248,"Konfederacja umacnia się na trzecim miejscu, Trzecia Droga pod progiem dla koalicji, a lewica mocno w dół!  💪  🇵  🇱  "
1844711276577964544, 
1844711189143535872,"Już dziś o 20:20 będę gościem Adriana Klarenbacha w . 
Zapraszam do oglądania! "
1844641421296333312,"Oj ciężko było Panu wicepremierowi napisać to słowo na ""i"". "
1844455434566168832,"  Nie będzie nam Waszyngton narzucał swojej agendy ideologicznej. Panią wysłanniczkę zapraszamy z powrotem do siebie i niech już tam zostanie i promuje dewiację, ale wśród swoich."
1844415548211245312,"Słuchając wypowiedzi pani wiceminister Joanny Muchy, nasuwa się pytanie: dokąd zmierza nasza polityka migracyjna i edukacyjna?

Zamiast inwestować w poprawę jakości edukacji dla naszych dzieci, rząd przeznacza kolejne środki na zatrudnianie asystentów międzykulturowych i…  "
1844394713572602368,#ZNaszychPodatków 
1844337926580416768,"Wywiad ze mną w Kurierze Lubelskim o wyborach prezydenckich w Polsce i USA, wojnie na Ukrainie, kwestii wejścia tego państwa do UE i o ocenie rządu Donalda Tuska. 
Link:  "
1844253166281588992,I to jest trafne pytanie  😉  
1844089550391640064,Obietnice Szymona Hołowni vs. rzeczywistość 
1844031837339083008,Typowe dla polityków władzy  😉  
1843984045073428992,"Inwestycje samorządowe są kluczowe dla mieszkańców, bo odpowiadają na lokalne potrzeby. Niestety centralizacja i upolitycznienie tych inwestycji tworzą bariery, które często uniemożliwiają ich realizację. Dziś w Sejmie musieliśmy łatać luki prawne, żeby niektóre gminy w ogóle…  "
1843968804092829952,"Siedemnaście krajów (14 państw członkowskich, a także Norwegia, Szwajcaria i Liechtenstein) wezwało Komisję Europejską do zaostrzenia unijnych przepisów dotyczących odsyłania nielegalnych migrantów do ich krajów pochodzenia. Zgadnijcie, czy była wśród nich Polska? "
1843892783259459840,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?  💪  Dołącz do #PejoTeam w Powiecie Kraśnickim i buduj razem z nami przyszłość!  🇵  🇱 

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  "
1843740048350691584,"O trendach i wyzwaniach rynku Data Center rozmawialiśmy na II edycji ""Forum Data Center.  Szczególnie podkreślałem rolę AI i Cyberbezpieczeństwa w kontekście centrów danych w Polsce.  🇵  🇱 
Dzięki za merytoryczną dyskusję. "
1843691562611695872,"Rząd Donalda Tuska bardzo troszczy się o rodaków. Głównie tych, którzy bezskutecznie kandydowali z list partii koalicji rządowej w wyborach  🙃  "
1843571973001232640,"Okazuje się, że Polska 2050 to sklep meblarski! Dowód?

Krzysztof Pałka, Michał Gniatowski, Andrzej Sadkowski, Miłosława Zagłoba, Robert Gajda, Ewa Patalas, Emilia Wasielewska, Emil Rojek - to wszystko politycy Polski 2050 zasiadający w spółkach Skarbu Państwa! "
1843328041834979840,"Złym przykładem ze strony koalicji rządzącej jest nieuwzględnienie poprawek opozycji, zarówno Konfederacji, jak i PiS. Proponowaliśmy takie rozwiązania, aby na przykład zwolnić powodzian ze składek ZUS-owskich, a nie tylko odroczyć płatność tych składek, bo to nic nie zmieni.…  "
1843299154703122432,"Taki jest właśnie stosunek państwa do polskiego biznesu, który (jak przyznał niedawno właściciel InPostu Rafał Brzoska) odprowadza większe podatki niż cała zagraniczna konkurencja razem wzięta. Czy jak już rząd Donalda Tuska zniszczy InPost to na jego miejsce wejdzie niemiecki…  "
1843218905260601600,"Rejestr mieszkań wynajmowanych krótkoterminowo, wysokie opodatkowanie? To jeszcze Polska 2050, czy już partia Razem? Udajecie liberałów, a prawda jest taka, że w swojej potrzebie ustawiania życia obywatelom chcecie prześcignąć PiS. Sama Pani Minister zarabia na najmie, proszę…  "
1843182024766722048,Krzysztof Śmiszek z Lewicy głosował w Europarlamencie przeciwko poprawce umożliwiającej ekshumację i godny pochówek ofiar Rzezi Wołyńskiej. Dlaczego? Bo poprawkę tę złożyli europosłowie Konfederacji.  🤡  
1843003692800516352,Europejska gospodarka staje się niekonkurencyjna względem amerykańskiej czy chińskiej. Recepta? Wincyj dekarbonizacji! xD 
1842899929150246912,"Presja ma sens!

Toyota wycofuje się ze sponsorowania wydarzeń LGBTQ+ i planuje skupić się wyłącznie na samochodach!

Decyzja ta nastąpiła po tym, jak popularny w Stanach Zjednoczonych aktywista anty-DEI Robby Starbuck zaatakował japońskiego giganta motoryzacyjnego za…  "
1842857190987616512,"To skandal, że nadzorowany przez MSZ Instytut Polski w Kijowie organizuje w wielu ukraińskich miastach bezpłatne pokazy filmu „Zielona Granica”, który szkaluje polskich żołnierzy i funkcjonariuszy broniących naszej granicy oraz powiela rosyjską propagandę. Dyrektor instytutu…  "
1842646904028467200,Tak właśnie wygląda hipokryzja. 
1842630900225609984,W młodych siła! Świetna inicjatywa. Gratuluję i trzymam kciuki za powodzenie projektu  💪  🇵  🇱  
1842600242815914240,"Donald Tusk to mistrz w znajdowaniu tematów zastępczych i robieniu z nich głównego problemu państwa, podczas gdy naprawdę istotne sprawy leżą odłogiem. CPK, reforma podatkowa, budowa elektrowni atomowej, walka z inflacją czy kryzysem mieszkaniowym? A komu to potrzebne, głównym…  "
1842504859079069952,"Niestety, tęczowa indoktrynacja w animowanych bajkach dotarła także do Polski. Uważajcie na to, co oglądają Wasze dzieci! "
1842479281386975488,Zapraszam do Radia Lublin! 
1842289507359441408,"  Nazywanie ludobójcy ""wielkim mężem stanu walczącym o wolność Zachodu""? Serio? Coś obrzydliwego."
1842274624488591360,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?  💪  Dołącz do #PejoTeam w Powiecie Lubelskim i buduj razem z nami przyszłość!  🇵  🇱 

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  "
1842224572008906752,"Był minister płacący służbową kartą na wakacjach, a teraz małżeństwo posłów PO biorące dwie dopłaty na jedno mieszkanie. Za zmianą władzy nie poszła w żadnej mierze zmiana jakości w rządzeniu ani większy szacunek do pieniędzy podatników. "
1842098497476083968,"Mina przedstawiciela ""uśmiechniętej koalicji"", gdy pokażesz jego hipokryzję czarno na białym - bezcenna!  😉  "
1841921312006308096,"Trasa #Mentzen2025 trwa! Na dzisiejszych spotkaniach w Puławach i Łukowie frekwencja była znakomita. Podobnie jak na poprzednich spotkaniach z moim udziałem widać ogromną energię i nadzieję na zmiany w naszym kraju. Już w przyszłym roku wizja dumnej, bogatej i bezpiecznej Polski…  "
1841877435664511488,Trasa #Mentzen2025 trwa! Na dzisiejszym spotkaniu w Puławach frekwencja była znakomita. A już za chwilę zaczynamy spotkanie w Łukowie. Do zobaczenia! 
1841847057486586112,Znajdowanie tematów zastępczych to specjalność Donalda Tuska. Sprawy kluczowe dla rozwoju Polski muszą poczekać. 
1841797864604770304,"Podatek od spadków jest niemoralny! Jak można kłaść ręce na naszych pieniądzach nawet wtedy, gdy już umrzemy? Dlatego dziś nasz kandydat na Prezydenta  zaprezentował swój projekt ustawy, który likwiduje ten podatek. Projekt został złożony przez klub … "
1841749451888644608,"A miało być wszystko odpolitycznione, bez kolesiostwa i tłustych kotów przy stołkach  😉  "
1841550108174827776, Walka z tubkami i nieudolna próba wyrzucenia z komisji własnej posłanki. Tylko na tyle was stać.
1841541189872320768,"Już jutro ponownie ruszamy w trasę #Mentzen2025!

O godz. 16:00 widzimy się w Puławach na Placu Fryderyka Chopina wraz ze Sławomirem Mentzenem, Konradem Berkowiczem i Grzegorzem Płaczkiem.

Z kolei o 18:30 w tym samym składzie widzimy się w Łukowie na Placu Solidarności i…  "
1841500236423823616,"I tak właśnie wygląda nasze państwo. Silne w sprawach błahych, bezradne w sprawach najwyższej wagi. "
1841454900225491200,   Temat zastępczy …
1841448186633715968,"Rozwój gospodarki, budowa nowoczesnej infrastruktury, modernizacja armii? Nic z tych rzeczy, zdaniem rządu najpoważniejszym dziś problemem są alko-tubki. To także jasny sygnał, że w naszym państwie z dnia na dzień każdy biznes może stać się celem politycznego ataku, a praktyki…  "
1841395569270386944,Wymowne zdjęcie: nowa vs. stara lewica. 
1841184680064008448,"Dzięki zerwaniu kworum przez posłów  udało się uniemożliwić Lewicy, PO i Trzeciej Drodze usunięcie posłanki Matysiak z komisji infrastruktury!  🙂 "
1841074147985658112,Wystarczy dać im mówić. Nic tak skutecznie nie zniechęca do działań ekoterrorystów z Ostatniego Pokolenia jak oni sami. 
