id,text_clean,text_clean_en
1846277256509116672," Niezrealizowanie większości ze ""100 konkretów"", zamiast transparentności ""sklep meblarski"" przy obsadzaniu SSP, zamiast taniego państwa rekordowy deficyt i najliczniejszy rząd w historii, a zamiast praworządności państwo policyjne. Oto obraz Waszych rządów rok po wyborach."," Failure to implement most of the ""100 specifics"", instead of transparency a ""furniture store"" when appointing the Social Security Service, instead of a cheap state, a record deficit and the most numerous government in history, and instead of the rule of law, a police state. This is a picture of your government a year after the elections."
1846222583898784000,Rok po wyborach trzeba powiedzieć jedno - nie na takie państwo Donald Tusk umawiał się z wyborcami!,"A year after the elections, one thing must be said - this is not the country Donald Tusk agreed with voters!"
1846161400328028160," ❌ Mamy rok po wyborach, a Polska pogrąża się w kryzysie i anarchii. 

Z obiecanych 100 konkretów rząd Donalda Tuska zrealizował tylko około 30. Nie zostały zrealizowane np. takie postulaty jak: podwyżka kwoty wolnej od podatku, wprowadzenie systemy wizyt lekarskich przez SMS i…  "," ❌ We are a year after the elections, and Poland is sinking into crisis and anarchy. 

Of the promised 100 specific items, Donald Tusk's government implemented only about 30. For example, such demands as: an increase in the tax-free amount, the introduction of a system of medical visits via SMS and...  "
1846091824101769472,"Mija rok od wyborów parlamentarnych. W kampanii wyborczej padło wiele obietnic ze strony rządzących. Co z tego dziś mamy? W uśmiechniętej Polsce mamy chaos w wymiarze sprawiedliwości, zator finansowy w służbie zdrowia i rekordowy deficyt. Rządy Donalda Tuska to katastrofa dla…  ","A year has passed since the parliamentary elections. Many promises were made by the government during the election campaign. What do we get from it today? In smiling Poland we have chaos in the justice system, financial gridlock in the health service and a record deficit. Donald Tusk's rule is a disaster for...  "
1846075343188144128,#Idę11  🇵  🇱,#I'm going11 🇵 🇱
1845888830680834304,"""Demokracja walcząca"" Trzaskowskiego, Tuska ani żadnego innego totalniaka nie powstrzyma największego patriotycznego wydarzenia w Polsce. Jak co roku 11 listopada widzimy się w Warszawie na Marszu Niepodległości!  🇵  🇱  ","""Fighting democracy"" by Trzaskowski, Tusk or any other totalitarian will not stop the largest patriotic event in Poland. As every year, on November 11, we will see you in Warsaw at the Independence March!  🇵 🇱  "
1845842892490715392,Samozaoranie level master.  😎,Self-plowing level master.  😎
1845725230272000256,"Polska ma wkrótce uruchomić 49 finansowanych przez UE Centrów Integracji Cudzoziemców, które będą wspierać przybyłych do naszego kraju migrantów. Mają oni otrzymać darmowe kursy językowe, pomoc prawną i usługi adaptacyjne. I to by było na tyle jeśli chodzi o zapowiadaną przez…  ","Poland is soon to launch 49 EU-funded Foreigners Integration Centers, which will support migrants who come to our country. They are to receive free language courses, legal assistance and adaptation services. And that's it for what was announced by...  "
1845456268162469888,"Unia najlepiej wie, czego potrzebuje nasze rolnictwo  🙃  ",The EU knows best what our agriculture needs 🙃  
1845366433443684864,Warto posłuchać słów prawdy od byłego więźnia obozu w Auschwitz.,It is worth listening to words of truth from a former prisoner of the Auschwitz camp.
1845168884153794816,"Ekologiczny Maciej Gdula z Lewicy mówi ""zwężajmy ulice i jeździjmy rowerami"", ale jednocześnie sam jeździ SUV-em  🤡  ","Ecological Maciej Gdula from the Left says ""let's narrow the streets and ride bikes"", but at the same time he drives an SUV himself 🤡  "
1845104964663902720,"Koniec złudzeń, że Suwerenna Polska jest jakąkolwiek prawicową alternatywą dla PiS-u. Dziś Jarosław Kaczyński dokonał aneksji swoich koalicjantów. W ten sposób podział sceny politycznej, o którym mówiliśmy od dawna, staje się już oczywisty. Polakom daje się wybór niedający…  ","End of illusions that Sovereign Poland is any right-wing alternative to PiS. Today, Jarosław Kaczyński annexed his coalition partners. In this way, the division of the political scene that we have been talking about for a long time becomes obvious. Poles are given a choice that does not…  "
1845069426439213056,I tak wygląda szara rzeczywistość podatnika.,And this is the gray reality of the taxpayer.
1845013817014575360,"Pamiętacie ten wpis sprzed roku? Już go nie ma - został usunięty. Tak właśnie Ci ludzie traktują wyborców - jak idiotów, którym można obiecać wszystko w kampanii, a po wyborach udawać, że tych obietnic nie było. ","Do you remember this entry from a year ago? It is no longer there - it has been removed. This is how these people treat voters - as idiots to whom they can promise everything during the campaign, and after the elections pretend that these promises were not there. "
1844814952462225920,To coś słabo wam idzie.,This is something you're not doing well.
1844763144062677248,"Konfederacja umacnia się na trzecim miejscu, Trzecia Droga pod progiem dla koalicji, a lewica mocno w dół!  💪  🇵  🇱  ","The Confederation is strengthening in third place, Third Road is below the threshold for the coalition, and the left is falling significantly!  💪 🇵 🇱  "
1844711276577964544,,#VALUE!
1844711189143535872,"Już dziś o 20:20 będę gościem Adriana Klarenbacha w . 
Zapraszam do oglądania! ","Today at 8:20 p.m. I will be the guest of Adrian Klarenbach in . 
I invite you to watch! "
1844641421296333312,"Oj ciężko było Panu wicepremierowi napisać to słowo na ""i"". ","Oh, it was hard for the Deputy Prime Minister to write the ""i"" word. "
1844455434566168832,"  Nie będzie nam Waszyngton narzucał swojej agendy ideologicznej. Panią wysłanniczkę zapraszamy z powrotem do siebie i niech już tam zostanie i promuje dewiację, ale wśród swoich.","  Washington will not impose its ideological agenda on us. We invite the envoy back to our place and let her stay there and promote deviation, but among her own people."
1844415548211245312,"Słuchając wypowiedzi pani wiceminister Joanny Muchy, nasuwa się pytanie: dokąd zmierza nasza polityka migracyjna i edukacyjna?

Zamiast inwestować w poprawę jakości edukacji dla naszych dzieci, rząd przeznacza kolejne środki na zatrudnianie asystentów międzykulturowych i…  ","Listening to the statement of Deputy Minister Joanna Mucha, a question arises: where is our migration and education policy heading?

Instead of investing in improving the quality of education for our children, the government is allocating more funds to employing intercultural assistants and…  "
1844394713572602368,#ZNaszychPodatków,#FromOurTaxes
